Model,R-squared Score,Mean Squared Error,Mean Absolute Error
AdaBoost,0.9877181566885571,0.014961708440334178,0.09762162386721761
DecisionTrees,0.9886403653972016,0.01383827627547175,0.08137337349657982
ExtraTrees,0.9969885206299731,0.0036685760570193894,0.03896510868724483
GaussianProcess,0.9903002089324373,0.011816259351706411,0.07704455067309192
Stacked,0.9970546074894654,0.003588069222793649,0.042050467524950765
